CAT_ID,PARENT_ID,CAT_NAME,LVL,URL
c2552,c2551,Tã dán,3,https://tiki.vn/ta-dan/c2552
c10414,c2551,Miếng lót sơ sinh,3,https://tiki.vn/mieng-lot-so-sinh/c10414
c2553,c2551,Tã quần,3,https://tiki.vn/ta-quan/c2553
c10415,c2551,Tã giấy,3,https://tiki.vn/ta-giay/c10415
c2554,c2551,Tã vải,3,https://tiki.vn/ta-vai/c2554
c10417,c2551,Tã bỉm dành cho người lớn,3,https://tiki.vn/ta-bim-danh-cho-nguoi-lon/c10417
c2555,c2551,Khăn giấy ướt cho bé,3,https://tiki.vn/khan-giay-uot-cho-be/c2555
c2551,c2549,"Tã, Bỉm",2,https://tiki.vn/ta-bim-cho-be/c2551
c2601,c2600,Sữa cho bé dưới 24 tháng,4,https://tiki.vn/sua-cho-be-duoi-24-thang/c2601
c2602,c2600,Sữa cho bé trên 24 tháng,4,https://tiki.vn/sua-cho-be-tren-24-thang/c2602
c2603,c2600,Sữa cho mẹ bầu và sau sinh,4,https://tiki.vn/sua-cho-me/c2603
c2600,c8339,Sữa bột cho bé,3,https://tiki.vn/sua-bot-cho-be/c2600
c10419,c8339,Sữa công thức pha sẵn,3,https://tiki.vn/sua-cong-thuc-pha-san/c10419
c10423,c8339,Vitamins,3,https://tiki.vn/vitamins/c10423
c2606,c8339,Bột ăn dặm,3,https://tiki.vn/bot-an-dam/c2606
c10424,c8339,Nước trái cây cho bé,3,https://tiki.vn/nuoc-trai-cay-cho-be/c10424
c6570,c8339,Bánh ăn dặm,3,https://tiki.vn/banh-an-dam/c6570
c10448,c8339,Bánh quy,3,https://tiki.vn/banh-quy/c10448
c6571,c8339,Thực phẩm chế biến sẵn,3,https://tiki.vn/thuc-pham-che-bien-san/c6571
c6572,c8339,Dầu ăn cho bé,3,https://tiki.vn/dau-an-cho-be/c6572
c2609,c8339,Trà và Thức uống cho bé,3,https://tiki.vn/tra-va-thuc-uong-cho-be/c2609
c8339,c2549,Dinh dưỡng cho bé,2,https://tiki.vn/dinh-duong-cho-be/c8339
c6568,c2549,Thực phẩm ăn dặm,2,https://tiki.vn/thuc-pham-an-dam/c6568
c10416,c2549,Dinh dưỡng cho mẹ,2,https://tiki.vn/dinh-duong-cho-me/c10416
c10418,c2549,Dinh dưỡng cho người lớn,2,https://tiki.vn/dinh-duong-cho-nguoi-lon/c10418
c10420,c2557,Bình sữa,5,https://tiki.vn/binh-sua/c10420
c10421,c2557,"Bình uống, Bình đựng nước",5,https://tiki.vn/binh-uong-binh-dung-nuoc/c10421
c10422,c2557,Bình ăn dặm (bình thìa),5,https://tiki.vn/binh-an-dam-binh-thia/c10422
c2557,c2556,"Bình sữa, Bình tập uống",4,https://tiki.vn/binh-sua-binh-tap-uong/c2557
c10430,c2560,Cọ rửa bình sữa,5,https://tiki.vn/co-rua-binh-sua/c10430
c10431,c2560,Máy giập núm ty,5,https://tiki.vn/may-giap-num-ty/c10431
c10432,c2560,Giá úp bình sữa/Khay,5,https://tiki.vn/gia-up-binh-sua-khay/c10432
c10435,c2560,Miếng lót chống nóng (tay cầm bình sữa),5,https://tiki.vn/mieng-lot-chong-nong-tay-cam-binh-sua/c10435
c10434,c2560,Hộp đựng phụ kiện bình,5,https://tiki.vn/hop-dung-phu-kien-binh/c10434
c10433,c2560,Kẹp gắp bình sữa,5,https://tiki.vn/kep-gap-binh-sua/c10433
c2563,c2560,Hộp chia sữa,5,https://tiki.vn/hop-chia-sua/c2563
c2562,c2560,Túi giữ nhiệt (bình sữa/bình nước),5,https://tiki.vn/tui-giu-nhiet/c2562
c2560,c2556,Phụ kiện bình sữa,4,https://tiki.vn/phu-kien-binh/c2560
c2558,c2556,Núm ti,4,https://tiki.vn/num-ti/c2558
c8461,c2556,Ngậm nướu,4,https://tiki.vn/ngam-nuou/c8461
c2561,c2556,Dụng cụ tập ăn,4,https://tiki.vn/dung-cu-tap-an/c2561
c10429,c2564,Máy hâm sữa,5,https://tiki.vn/may-ham-sua/c10429
c10428,c2564,Máy tiệt trùng,5,https://tiki.vn/may-tiet-trung/c10428
c2564,c2556,"Máy tiệt trùng, hâm sữa",4,https://tiki.vn/tiet-trung-ham-sua/c2564
c10449,c2556,Hộp chia đồ ăn,4,https://tiki.vn/hop-chia-do-an/c10449
c2565,c2556,"Yếm, khăn cho bé",4,https://tiki.vn/yem-khan-cho-be/c2565
c6567,c2556,"Bình tập uống, Ly uống nước",4,https://tiki.vn/binh-tap-uong/c6567
c10438,c8462,Bộ nghiền thực phẩm,5,https://tiki.vn/bo-nghien-thuc-pham/c10438
c10437,c8462,Bộ cắt hấp thức ăn,5,https://tiki.vn/bo-cat-hap-thuc-an/c10437
c10439,c8462,Bộ thìa nạo trái cây,5,https://tiki.vn/bo-thia-nao-trai-cay/c10439
c10440,c8462,Bộ chế biến đa năng,5,https://tiki.vn/bo-che-bien-da-nang/c10440
c10441,c8462,Máy xay cầm tay cho bé,5,https://tiki.vn/may-xay-cam-tay-cho-be/c10441
c10442,c8462,Nồi nấu cháo cho bé,5,https://tiki.vn/noi-nau-chao-cho-be/c10442
c8462,c2556,Dụng cụ chế biến thức ăn cho bé,4,https://tiki.vn/dung-cu-che-bien-thuc-an-cho-be/c8462
c2580,c2556,Ghế ăn,4,https://tiki.vn/ghe-an/c2580
c2556,c11601,Đồ dùng ăn uống cho bé,3,https://tiki.vn/do-dung-an-uong-cho-be/c2556
c2569,c2567,Sữa tắm cho bé,4,https://tiki.vn/sua-tam-cho-be/c2569
c2568,c2567,Dầu gội cho bé,4,https://tiki.vn/dau-goi-cho-be/c2568
c10450,c2570,Dầu massage,5,https://tiki.vn/dau-massage/c10450
c10451,c2570,Phấn rôm cho bé,5,https://tiki.vn/phan-rom-cho-be/c10451
c10452,c2570,Nước hoa,5,https://tiki.vn/nuoc-hoa/c10452
