name,url,sold_count,currrent_price
Dầu Gội Chống Gàu Selsun (100ml),https://tiki.vn/product-p632680.html?spid=10862721,143933,86000
Kem rửa mặt Vitamin Acnes Vitamin Cleanser 100g,https://tiki.vn/product-p5902685.html?spid=10863053,52620,59000
Combo Sữa Tắm L'amont En Provence Cherry Blossom Shower Gel Hương Hoa Anh Đào + Hoa Hồng (500ml / Chai),https://tiki.vn/product-p1347157.html?spid=1347159,50825,149000
Dầu Gội Chống Gàu Selsun 50ml,https://tiki.vn/product-p20541866.html?spid=20541867,41130,51000
Tai Nghe Nhét Tai Mi Basic Xiaomi HSEJ03JY - Hàng Chính Hãng,https://tiki.vn/product-p1600005.html?spid=1609859,40419,99000
"Sữa Chống Nắng Sunplay Cực Mạnh Sunplay Super Block SPF 81, PA++++ (30g)",https://tiki.vn/product-p1313871.html?spid=10862283,37788,82500
Sữa Rửa Mặt Tạo Bọt Chiết Xuất Tơ Tằm Trắng Senka Perfect Whip 120g - 14839,https://tiki.vn/product-p568830.html?spid=2895735,28169,87000
"Chuột không dây Logitech B175 - đầu thu USB 2.4Ghz, pin 1 năm, nhỏ gọn, thiết kế thuận cả 2 tay, phù hợp PC/ Laptop - Hàng chính hãng",https://tiki.vn/product-p389145.html?spid=89685,27163,170000
Tai Nghe Nhét Tai JBL C150SI - Hàng Chính Hãng,https://tiki.vn/product-p4897521.html?spid=4897525,26658,250000
Sữa rửa mặt Simple giúp da sạch thoáng & không chứa xà phòng 150ml [CHÍNH HÃNG ĐỘC QUYỀN],https://tiki.vn/product-p117147635.html?spid=117147636,26504,105000
